key	advice_level_lookup	persistant	show_instant	show_on_navigate	is_header	navigation_order
#advice_info_texts_tables;2;db/advice_info_texts_tables/@Timbe_DeI_advice_info_texts						
Region.4.Acquire.001	500004	false	true	true	false	1
Region.3.Acquire.001	500003	false	true	true	false	1
Region.6.Acquire.001	500006	false	true	true	false	1
Region.5.Acquire.001	500005	false	true	true	false	1
Region.8.Acquire.001	500008	false	true	true	false	1
Region.7.Acquire.001	500007	false	true	true	false	1
Region.11.Acquire.001	500011	false	true	true	false	1
Region.10.Acquire.001	500010	false	true	true	false	1
Region.9.Acquire.001	500009	false	true	true	false	1
Region.15.Acquire.001	500015	false	true	true	false	1
Region.13.Acquire.001	500013	false	true	true	false	1
Region.14.Acquire.001	500014	false	true	true	false	1
Region.12.Acquire.001	500012	false	true	true	false	1
Region.19.Acquire.001	500019	false	true	true	false	1
Region.17.Acquire.001	500017	false	true	true	false	1
Region.18.Acquire.001	500018	false	true	true	false	1
Region.16.Acquire.001	500016	false	true	true	false	1
Region.21.Acquire.001	500021	false	true	true	false	1
Region.20.Acquire.001	500020	false	true	true	false	1
Region.23.Acquire.001	500023	false	true	true	false	1
Region.22.Acquire.001	500022	false	true	true	false	1
Region.25.Acquire.001	500025	false	true	true	false	1
Region.24.Acquire.001	500024	false	true	true	false	1
Region.27.Acquire.001	500027	false	true	true	false	1
Region.26.Acquire.001	500026	false	true	true	false	1
Region.29.Acquire.001	500029	false	true	true	false	1
Region.28.Acquire.001	500028	false	true	true	false	1
Region.32.Acquire.001	500032	false	true	true	false	1
Region.31.Acquire.001	500031	false	true	true	false	1
Region.30.Acquire.001	500030	false	true	true	false	1
Region.36.Acquire.001	500036	false	true	true	false	1
Region.34.Acquire.001	500034	false	true	true	false	1
Region.35.Acquire.001	500035	false	true	true	false	1
Region.33.Acquire.001	500033	false	true	true	false	1
Region.40.Acquire.001	500040	false	true	true	false	1
Region.38.Acquire.001	500038	false	true	true	false	1
Region.39.Acquire.001	500039	false	true	true	false	1
Region.37.Acquire.001	500037	false	true	true	false	1
Region.44.Acquire.001	500044	false	true	true	false	1
Region.42.Acquire.001	500042	false	true	true	false	1
Region.43.Acquire.001	500043	false	true	true	false	1
Region.41.Acquire.001	500041	false	true	true	false	1
Region.48.Acquire.001	500048	false	true	true	false	1
Region.46.Acquire.001	500046	false	true	true	false	1
Region.47.Acquire.001	500047	false	true	true	false	1
Region.45.Acquire.001	500045	false	true	true	false	1
Region.52.Acquire.001	500052	false	true	true	false	1
Region.50.Acquire.001	500050	false	true	true	false	1
Region.51.Acquire.001	500051	false	true	true	false	1
Region.49.Acquire.001	500049	false	true	true	false	1
Region.56.Acquire.001	500056	false	true	true	false	1
Region.54.Acquire.001	500054	false	true	true	false	1
Region.55.Acquire.001	500055	false	true	true	false	1
Region.53.Acquire.001	500053	false	true	true	false	1
Region.60.Acquire.001	500060	false	true	true	false	1
Region.58.Acquire.001	500058	false	true	true	false	1
Region.59.Acquire.001	500059	false	true	true	false	1
Region.57.Acquire.001	500057	false	true	true	false	1
Region.2.Acquire.001	500002	false	true	true	false	1
Region.0.Acquire.001	500000	false	true	true	false	1
Region.1.Acquire.001	500001	false	true	true	false	1
Region.64.Acquire.001	500064	false	true	true	false	1
Region.62.Acquire.001	500062	false	true	true	false	1
Region.63.Acquire.001	500063	false	true	true	false	1
Region.61.Acquire.001	500061	false	true	true	false	1
Region.68.Acquire.001	500068	false	true	true	false	1
Region.66.Acquire.001	500066	false	true	true	false	1
Region.67.Acquire.001	500067	false	true	true	false	1
Region.65.Acquire.001	500065	false	true	true	false	1
Region.72.Acquire.001	500072	false	true	true	false	1
Region.70.Acquire.001	500070	false	true	true	false	1
Region.71.Acquire.001	500071	false	true	true	false	1
Region.69.Acquire.001	500069	false	true	true	false	1
Region.76.Acquire.001	500076	false	true	true	false	1
Region.74.Acquire.001	500074	false	true	true	false	1
Region.75.Acquire.001	500075	false	true	true	false	1
Region.73.Acquire.001	500073	false	true	true	false	1
Region.80.Acquire.001	500080	false	true	true	false	1
Region.78.Acquire.001	500078	false	true	true	false	1
Region.79.Acquire.001	500079	false	true	true	false	1
Region.77.Acquire.001	500077	false	true	true	false	1
Region.84.Acquire.001	500084	false	true	true	false	1
Region.82.Acquire.001	500082	false	true	true	false	1
Region.83.Acquire.001	500083	false	true	true	false	1
Region.81.Acquire.001	500081	false	true	true	false	1
Region.88.Acquire.001	500088	false	true	true	false	1
Region.86.Acquire.001	500086	false	true	true	false	1
