event	optional_campaign_key	culture	optional_subculture	text	image	icon	sound_event
#message_event_strings_tables;3;db/message_event_strings_tables/@Timbe_message_event_region_acquire_strings							
custom_event_850		rom_Hellenistic		Region_acquired_via_diplomacy_minor	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_850		rom_Eastern		Region_acquired_via_diplomacy_minor	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_850		rom_Barbarian		Region_acquired_via_diplomacy_minor	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_850		rom_Roman		Region_acquired_via_diplomacy_minor	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_852		rom_Hellenistic		Region_diplomacy_expiration	diplomacy_fail.png	rom_event_diplomacy.png	campaign_ui_message_neutral
custom_event_854		rom_Hellenistic		Region_acquired_via_diplomacy_client_major	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_853		rom_Hellenistic		Region_acquired_via_diplomacy_client_minor	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_851		rom_Hellenistic		Region_acquired_via_diplomacy_major	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_852		rom_Eastern		Region_diplomacy_expiration	diplomacy_fail.png	rom_event_diplomacy.png	campaign_ui_message_neutral
custom_event_854		rom_Eastern		Region_acquired_via_diplomacy_client_major	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_853		rom_Eastern		Region_acquired_via_diplomacy_client_minor	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_851		rom_Eastern		Region_acquired_via_diplomacy_major	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_852		rom_Barbarian		Region_diplomacy_expiration	diplomacy_fail.png	rom_event_diplomacy.png	campaign_ui_message_neutral
custom_event_854		rom_Barbarian		Region_acquired_via_diplomacy_client_major	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_853		rom_Barbarian		Region_acquired_via_diplomacy_client_minor	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_851		rom_Barbarian		Region_acquired_via_diplomacy_major	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_852		rom_Roman		Region_diplomacy_expiration	diplomacy_fail.png	rom_event_diplomacy.png	campaign_ui_message_neutral
custom_event_854		rom_Roman		Region_acquired_via_diplomacy_client_major	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_853		rom_Roman		Region_acquired_via_diplomacy_client_minor	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_851		rom_Roman		Region_acquired_via_diplomacy_major	region_acguired_via_diplomacy.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_855		rom_Hellenistic		Region_available_to_acquire	region_message_generic.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_855		rom_Eastern		Region_available_to_acquire	region_message_generic.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_855		rom_Barbarian		Region_available_to_acquire	region_message_generic.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_855		rom_Roman		Region_available_to_acquire	region_message_generic.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_856		rom_Hellenistic		Region_available_to_acquire	region_message_generic.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_856		rom_Eastern		Region_available_to_acquire	region_message_generic.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_856		rom_Barbarian		Region_available_to_acquire	region_message_generic.png	rom_event_diplomacy.png	campaign_ui_message_positive
custom_event_856		rom_Roman		Region_available_to_acquire	region_message_generic.png	rom_event_diplomacy.png	campaign_ui_message_positive
