key	text	tooltip
#Loc;1;text/db/@Timbe_Diplomat_Advice_Info.loc		
advice_info_texts_localised_text_Region.0.Acquire.001	Your diplomat can negotiate a region trade with an allied state or even a neutral faction. Depending on the citys size, importance and diplomatic stance with you, your diplomat has certain amounth of chance to success. On this region the chance to success is: [[col:red]]0%[[/col]]. If the Diplomat stays on this region, the chance will change depending on the diplomatic situation at hand.\\n_______________________________	true
advice_info_texts_localised_text_Region.1.Acquire.001	Your diplomat can negotiate a region trade with an allied state or even a neutral faction. Depending on the citys size, importance and diplomatic stance with you, your diplomat has certain amounth of chance to success. On this region the chance to success is: [[col:green]]1% At the price of 10000.[[/col]] If the Diplomat stays on this region, the chance will change depending on the diplomatic situation at hand.\\n_______________________________	true
advice_info_texts_localised_text_Region.2.Acquire.001	Your diplomat can negotiate a region trade with an allied state or even a neutral faction. Depending on the citys size, importance and diplomatic stance with you, your diplomat has certain amounth of chance to success. On this region the chance to success is: [[col:green]]2% At the price of 10000.[[/col]] If the Diplomat stays on this region, the chance will change depending on the diplomatic situation at hand.\\n_______________________________	true
advice_info_texts_localised_text_Region.3.Acquire.001	Your diplomat can negotiate a region trade with an allied state or even a neutral faction. Depending on the citys size, importance and diplomatic stance with you, your diplomat has certain amounth of chance to success. On this region the chance to success is: [[col:green]]3% At the price of 10000.[[/col]] If the Diplomat stays on this region, the chance will change depending on the diplomatic situation at hand.\\n_______________________________	true
advice_info_texts_localised_text_Region.4.Acquire.001	Your diplomat can negotiate a region trade with an allied state or even a neutral faction. Depending on the citys size, importance and diplomatic stance with you, your diplomat has certain amounth of chance to success. On this region the chance to success is: [[col:green]]4% At the price of 10000.[[/col]] If the Diplomat stays on this region, the chance will change depending on the diplomatic situation at hand.\\n_______________________________	true
advice_info_texts_localised_text_Region.5.Acquire.001	Your diplomat can negotiate a region trade with an allied state or even a neutral faction. Depending on the citys size, importance and diplomatic stance with you, your diplomat has certain amounth of chance to success. On this region the chance to success is: [[col:green]]5% At the price of 10000.[[/col]] If the Diplomat stays on this region, the chance will change depending on the diplomatic situation at hand.\\n_______________________________	true
advice_info_texts_localised_text_Region.6.Acquire.001	Your diplomat can negotiate a region trade with an allied state or even a neutral faction. Depending on the citys size, importance and diplomatic stance with you, your diplomat has certain amounth of chance to success. On this region the chance to success is: [[col:green]]6% At the price of 10000.[[/col]] If the Diplomat stays on this region, the chance will change depending on the diplomatic situation at hand.\\n_______________________________	true
advice_info_texts_localised_text_Region.7.Acquire.001	Your diplomat can negotiate a region trade with an allied state or even a neutral faction. Depending on the citys size, importance and diplomatic stance with you, your diplomat has certain amounth of chance to success. On this region the chance to success is: [[col:green]]7% At the price of 10000.[[/col]] If the Diplomat stays on this region, the chance will change depending on the diplomatic situation at hand.\\n_______________________________	true
advice_info_texts_localised_text_Region.8.Acquire.001	Your diplomat can negotiate a region trade with an allied state or even a neutral faction. Depending on the citys size, importance and diplomatic stance with you, your diplomat has certain amounth of chance to success. On this region the chance to success is: [[col:green]]8% At the price of 10000.[[/col]] If the Diplomat stays on this region, the chance will change depending on the diplomatic situation at hand.\\n_______________________________	true
