key	text	tooltip
#Loc;1;text/db/@Timbe_Message_Event_Region_Acquired_Strings.loc		
message_event_strings_title_custom_event_850rom_Barbarian	Minor Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_850rom_Eastern	Minor Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_850rom_Hellenistic	Minor Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_850rom_Roman	Minor Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_854rom_Barbarian	Major Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_853rom_Barbarian	Minor Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_851rom_Barbarian	Major Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_854rom_Eastern	Major Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_853rom_Eastern	Minor Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_851rom_Eastern	Major Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_853rom_Hellenistic	Minor Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_854rom_Hellenistic	Major Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_851rom_Hellenistic	Major Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_854rom_Roman	Major Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_853rom_Roman	Minor Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_851rom_Roman	Major Region Acquired via Diplomacy!	true
message_event_strings_title_custom_event_852rom_Barbarian	Region trade offer expired...	true
message_event_strings_title_custom_event_852rom_Eastern	Region trade offer expired...	true
message_event_strings_title_custom_event_852rom_Hellenistic	Region trade offer expired...	true
message_event_strings_title_custom_event_852rom_Roman	Region trade offer expired...	true
message_event_strings_title_custom_event_855rom_Barbarian	Region Available for Acquisition!	true
message_event_strings_title_custom_event_855rom_Eastern	Region Available for Acquisition!	true
message_event_strings_title_custom_event_855rom_Hellenistic	Region Available for Acquisition!	true
message_event_strings_title_custom_event_855rom_Roman	Region Available for Acquisition!	true
message_event_strings_title_custom_event_856rom_Barbarian	Region Available for Acquisition!	true
message_event_strings_title_custom_event_856rom_Eastern	Region Available for Acquisition!	true
message_event_strings_title_custom_event_856rom_Hellenistic	Region Available for Acquisition!	true
message_event_strings_title_custom_event_856rom_Roman	Region Available for Acquisition!	true
