key	text	tooltip
#Loc;1;text/db/@Timbe_Message_Event_Sell_Region_Strings.loc		
message_event_strings_title_custom_event_706rom_Roman	Minor region sold to Neutral State	true
message_event_strings_title_custom_event_705rom_Roman	Minor region sold to Allied State	true
message_event_strings_title_custom_event_704rom_Roman	Minor region sold to Client State	true
message_event_strings_title_custom_event_702rom_Roman	Major region sold to Allied State	true
message_event_strings_title_custom_event_703rom_Roman	Major region sold to Neutral State	true
message_event_strings_title_custom_event_701rom_Roman	Major region sold to Client State	true
message_event_strings_title_custom_event_707rom_Roman	Region to be sold!	true
message_event_strings_title_custom_event_708rom_Roman	Region added to sell list!	true
message_event_strings_title_custom_event_706rom_Barbarian	Minor region sold to Neutral State	true
message_event_strings_title_custom_event_705rom_Barbarian	Minor region sold to Allied State	true
message_event_strings_title_custom_event_704rom_Barbarian	Minor region sold to Client State	true
message_event_strings_title_custom_event_702rom_Barbarian	Major region sold to Allied State	true
message_event_strings_title_custom_event_703rom_Barbarian	Major region sold to Neutral State	true
message_event_strings_title_custom_event_701rom_Barbarian	Major region sold to Client State	true
message_event_strings_title_custom_event_707rom_Barbarian	Region to be sold!	true
message_event_strings_title_custom_event_708rom_Barbarian	Region added to sell list!	true
message_event_strings_title_custom_event_706rom_Hellenistic	Minor region sold to Neutral State	true
message_event_strings_title_custom_event_705rom_Hellenistic	Minor region sold to Allied State	true
message_event_strings_title_custom_event_704rom_Hellenistic	Minor region sold to Client State	true
message_event_strings_title_custom_event_702rom_Hellenistic	Major region sold to Allied State	true
message_event_strings_title_custom_event_703rom_Hellenistic	Major region sold to Neutral State	true
message_event_strings_title_custom_event_701rom_Hellenistic	Major region sold to Client State	true
message_event_strings_title_custom_event_707rom_Hellenistic	Region to be sold!	true
message_event_strings_title_custom_event_708rom_Hellenistic	Region added to sell list!	true
message_event_strings_title_custom_event_706rom_Eastern	Minor region sold to Neutral State	true
message_event_strings_title_custom_event_705rom_Eastern	Minor region sold to Allied State	true
message_event_strings_title_custom_event_704rom_Eastern	Minor region sold to Client State	true
message_event_strings_title_custom_event_702rom_Eastern	Major region sold to Allied State	true
message_event_strings_title_custom_event_703rom_Eastern	Major region sold to Neutral State	true
message_event_strings_title_custom_event_701rom_Eastern	Major region sold to Client State	true
message_event_strings_title_custom_event_707rom_Eastern	Region to be sold!	true
message_event_strings_title_custom_event_708rom_Eastern	Region added to sell list!	true
