key	text	tooltip
#Loc;1;text/db/@Timbe_cdir_events_dilemma_choice_details.loc		
cdir_events_dilemma_choice_details_localised_choice_label_trade_region_interface_20000SECOND	You have purchased a region at the sum of 20000 denarii. You may do the transaction now.	true
cdir_events_dilemma_choice_details_localised_choice_label_trade_region_interface_10000SECOND	You have purchased a region at the sum of 10000 denarii. You may do the transaction now.	true
cdir_events_dilemma_choice_details_localised_choice_label_trade_region_interface_5000SECOND	You have purchased a region at the sum of 5000 denarii. You may do the transaction now.	true
cdir_events_dilemma_choice_details_localised_choice_label_trade_region_interface_2500SECOND	You have purchased a region at the sum of 2500 denarii. You may do the transaction now.	true
cdir_events_dilemma_choice_details_localised_choice_label_trade_region_interface_20000FIRST	You have purchased a region at the sum of 20000 denarii. You may do the transaction now.	true
cdir_events_dilemma_choice_details_localised_choice_label_trade_region_interface_10000FIRST	You have purchased a region at the sum of 10000 denarii. You may do the transaction now.	true
cdir_events_dilemma_choice_details_localised_choice_label_trade_region_interface_5000FIRST	You have purchased a region at the sum of 5000 denarii. You may do the transaction now.	true
cdir_events_dilemma_choice_details_localised_choice_label_trade_region_interface_2500FIRST	You have purchased a region at the sum of 2500 denarii. You may do the transaction now.	true
cdir_events_dilemma_choice_details_localised_choice_title_trade_region_interface_20000SECOND	Region transaction payment	true
cdir_events_dilemma_choice_details_localised_choice_title_trade_region_interface_10000SECOND	Region transaction payment	true
cdir_events_dilemma_choice_details_localised_choice_title_trade_region_interface_5000SECOND	Region transaction payment	true
cdir_events_dilemma_choice_details_localised_choice_title_trade_region_interface_2500SECOND	Region transaction payment	true
cdir_events_dilemma_choice_details_localised_choice_title_trade_region_interface_20000FIRST	Region transaction payment	true
cdir_events_dilemma_choice_details_localised_choice_title_trade_region_interface_10000FIRST	Region transaction payment	true
cdir_events_dilemma_choice_details_localised_choice_title_trade_region_interface_5000FIRST	Region transaction payment	true
cdir_events_dilemma_choice_details_localised_choice_title_trade_region_interface_2500FIRST	Region transaction payment	true
