key	text	tooltip
#Loc;1;text/db/__Dilemmas_Family.loc		
dilemmas_localised_description_dei_dilemma_family_20001	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20008	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20015	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20022	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20029	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20036	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20043	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20050	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20057	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20064	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20071	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20078	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20085	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20092	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20099	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Seleukid family tree but his future is his own to mold. Will he take his place among the great names of the family like Seleucus and Antiochus or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20106	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20113	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20120	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20127	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20134	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20141	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20148	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20155	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20162	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20169	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20176	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20183	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20190	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of the Ptolemaic family tree but his future is his own to mold. Will he take his place among the great names of the family like the first Ptolemy himself or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20197	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of our family tree but his future is his own to mold. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20204	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of our family tree but his future is his own to mold. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20211	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of our family tree but his future is his own to mold. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20218	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of our family tree but his future is his own to mold. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20225	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of our family tree but his future is his own to mold. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20232	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of our family tree but his future is his own to mold. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20239	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of our family tree but his future is his own to mold. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20246	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of our family tree but his future is his own to mold. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20253	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of our family tree but his future is his own to mold. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20260	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of our family tree but his future is his own to mold. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20267	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a member of the royal family. His lineage can be traced back to the beginnings of our family tree but his future is his own to mold. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20274	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a leader of our people. His lineage can be traced back to the beginnings of our tribe and he stands as a great son of past chieftains. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20281	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a leader of our people. His lineage can be traced back to the beginnings of our tribe and he stands as a great son of past chieftains. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20288	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a leader of our people. His lineage can be traced back to the beginnings of our tribe and he stands as a great son of past chieftains. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
dilemmas_localised_description_dei_dilemma_family_20295	After a careful upbringing under various tutors in the arts, sciences and methods of warfare, this man has assumed his rightful place as a leader of our people. His lineage can be traced back to the beginnings of our tribe and he stands as a great son of past chieftains. Will he take his place among the great names of the family or simply fade into the obscurity of history?	true
